"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"1. Открыть страницу регистрации.
2. Проверить отображение заголовка и URL страницы.","131","Тест: открытие страницы регистрации","tests","2025-11-23","passed","2025-11-23","TestUserRegistration","test_user_registration","",""
"1. Авторизоваться и перейти на таб 'Создать рецепт'.
2. Заполнить все поля формы создания рецепта и нажать кнопку 'Создать рецепт'.
3. Проверить отображение карточки и совпадение названия.","15043","Тест: успешное создание рецепта авторизованным пользователем","tests","2025-11-23","passed","2025-11-23","TestCreateRecipe","test_create_recipe","",""
"1. Открыть страницу регистрации.
2. Заполнить форму регистрации данными пользователя.
3. Выполнить регистрацию и проверить переход на страницу входа.","1162","Тест: успешная регистрация нового пользователя","tests","2025-11-23","passed","2025-11-23","TestUserRegistration","test_user_registration","",""
"1. Открыть страницу входа.
2. Проверить отображение заголовка и URL страницы.","10679","Тест: открытие страницы входа","tests","2025-11-23","passed","2025-11-23","TestUserLogin","test_user_login","",""
"1. Зарегистрировать пользователя.
2. Заполнить форму входа и выполнить авторизацию.
3. Проверить переход на главную страницу и отображение рецептов.","1908","Тест: успешный вход авторизованного пользователя","tests","2025-11-23","passed","2025-11-23","TestUserLogin","test_user_login","",""
